alimento,unidad,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,colesterol_mg,acidos_saturados_g,acidos_monoinsaturados_g,acidos_poliinsaturados_g,acido_folico_mcg,vitamina_a_mcg,calcio_mg,hierro_mg,sodio_mg,potasio_mg,fosforo_mg,zinc_mg,selenio_mcg,carga_glicemica,categoria,pagina,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol,acido_ascorbico_mg,AG saturados_g,AG monoinsaturados_g,AG poliinsaturados_g,cantidad_sugerida,peso_bruto_g,ac_g_saturados_g,ac_monoinsaturados_g,ac_poliinsaturados_g,AG poliinsaturados (g),AG monoinsaturados (g)
Delaware Punch,1/4 lata,89,89,39,0,0,9.8,0,9.8,0,0,0,0,,0,0,0,17.8,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Dextrosa,3 cdta,12,12,45,0,0,10.5,0,10.5,0,0,0,0,,0,0,0,0,230,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Dulce de tamarindo,1 pieza,14,14,46,0,0,12.9,0,11,0,0,0,0,,0,0,0,19.3,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fanta,1/3 lata,117,117,45,0,0,11.1,0,11,0,0,0,0,,0,2.9,0,18.4,51.8,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Flan en polvo,1 cda,12,12,42,0,0,11,0,10,0,0,0,0,,0,0,0,23.5,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fresca,1 lata,118,118,40,0,0,11.1,0,11,0,0,0,0,,0,0,0,1.4,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fructosa,1/3 lata,118,118,44,0,0,11.1,0,11,0,0,0,0,,0,0,0,0,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fruta cristalizada,3 cdta,12,12,45,0,0.1,12,0,12,0,0,0,0,,0,0,0,0,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fuze Tea mandarina,15 gramos,15,15,36,0,0,9.1,0,9.1,0,0,0,0,,0,0,0,48.7,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fuze Tea mango manzanilla,1/4 lata,113,113,36,0,0,9.1,0,9.1,0,0,0,0,,0,0,0,9.1,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fuze Tea negro durazno,1/5 lata,91,91,45,0,0,11.3,0,11.3,0,0,0,0,,0,0,0,9.1,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fuze Tea negro limón,1/4 lata,113,113,36,0,0,9.1,0,9.1,0,0,0,0,,0,0,0,11.3,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Fuze Tea verde limón,1/4 lata,113,113,36,0,0,9.1,0,9.1,0,0,0,0,,0,0,0,11.3,0,0,,,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Gatorade variedad de sabores,200 ml,200,200,46,0,0,11.6,,,,,,,,,,,25,91.6,0.6,,,,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Gelatina,1/3 taza,59,59,37,0.7,0,8.4,0,8,0,0,0,0,0,1.8,0.6,0,44.6,0,0,0,13.2,0,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Gelatina de agua Dany sabor cola,1 1/2 envase,60,60,42,1.1,0,9.3,0,3.7,0,0,0,0,0,0,0,0,,,,,,,azúcares sin grasa,page_169.png,,,,,,,,,,,,,,,
Gelatina de anís,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de cereza,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de chocolate,cda,,48,46,2.1,1.1,6.8,0,6.8,0,0,0,0,,,45,0,23.2,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de chocolate de leche,cda,,48,46,2.1,1.1,6.8,0,6.8,0,0,0,0,,,45,0,23.2,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de durazno,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de frambuesa,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de fresa de agua,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de fresa de leche,cda,,48,46,2.1,1.1,6.8,0,6.8,0,0,0,0,,,45,0,23.2,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de grosella,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de jerez,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de limón,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de mandarina,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de manzana,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de mora azul,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de naranja,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de nuez de leche,cda,,48,46,2.1,1.1,6.8,0,6.8,0,0,0,0,,,45,0,23.3,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de piña,cda,,64,40,0.8,0,9.1,0,8.6,0,0,0,0,,,1.9,0,48,,,,,,azúcares SIN GRASA,page_170.png,,,,,,,,,,,,,,,
Gelatina de pistache,cda,,48,46,2.1,1.1,6.8,0,0,0,0.7,0,0,,,45,0,23.2,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina de rompope,cda,,48,46,2.1,1.1,6.8,0,0,0,0.7,0,0,,,45,0,23.2,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina de sabor polvo,10 gramos,,10,38,0.8,0,9.1,0,0,0,0,0,0,,,0.3,0,46.6,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina de uva,cda,,64,40,0.8,0,9.1,0,0,0,0,0,0,,,1.9,0,48,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina de vainilla polvo,cda,,48,46,2.1,1.1,6.8,0,0,0,0.7,0,0,,,45,0,23.2,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina de vainilla de leche,cda,,48,46,2.1,1.1,6.8,0,0,0,0.7,0,0,,,45,0,23.2,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina de zarzamora,cda,,64,40,0.8,0,9.1,0,0,0,0,0,0,,,1.9,0,48,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina en polvo para agua,10 gramos,,10,38,0.8,0,9.1,0,0,0,0,0,0,,,0.3,0,46.6,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina en polvo para leche,10 gramos,,10,38,0.8,0,9.1,0,0,0,0,0,0,,,0.3,0,46.6,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gelatina preparada,4 1/2 cda,,72,45,0.6,0,10.2,0,0,0,0,0,0,,,2.2,0,54,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gomilocas de hamburguesa,1/4 bolsa,,14,44,0.5,0,10.4,0,0,0,0,0,0,,,0,0,0,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gomilocas pinguino,1/4 bolsa,,12,45,0.4,0,10.2,0,0,0,0,0,0,,,0,0,0,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gomitas,4 piezas,,15,42,0.7,0,10.5,0,0,0,0,0,0,,,0,0,7.1,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gomitas con azúcar,1 pieza,,12,43,0.4,0,10.1,0,0,0,0,0,0,,,0,0,3.4,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gomitas de aros de durazno ácidas,1 1/2 pieza,,16,51,1.2,0,11.6,0,0,0,0,0,0,,,0,0,5.6,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gomitas de aros de manzana ácidas,2 piezas,,16,51,1.2,0,11.6,0,0,0,0,0,0,,,0,0,5.6,,,,,,azúcares sin grasa,page_171.png,,,,,,,,,,,,,,,
Gomitas de Coca Cola,pieza,,12,38,0.9,0,8.7,0,7.9,0,0,0,0,,0,0,0,4.2,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Gomitas de guanábana,pieza,,12,38,0.4,0,8.6,0,10.4,0,0,0,0,,0,0,0,5.6,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Gomitas de gusano (ombiz brillante),pieza,,16,48,0.4,0,11.6,0,7.3,0,0,0,0,,0,0,0,7.6,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Gomitas de pingüinos,1/4 bolsa,,14,45,0.8,0,10.4,0,7.7,0,0,0,0,,0,0,0,0,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Gomitas en forma de dientes (Ricolino),1/4 bolsa,,14,44,0.6,0,10.5,0,12,0,0,0,0,,0,0,0,0,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Gomitas frutas enchiladas,pieza,,16,51,0.8,0,10.5,0,10,0,0.6,0,0,,0.9,0,0,108,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Gomitas mangos Lucky,1 1/2 pieza,,12,48,0.4,0,8.4,0.4,0.5,0,0,0,0,,0,0,0,8,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Granadina,cda,,15,40,0,0,10,0,,0,0,0,0,,0,0,0,6.4,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Huevitos de chocolate confitado,1 pza,,10,40,0.5,0,10.7,0,0.1,0,0,0,0,,0,0,0.4,3.3,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Inulina de agave,gramos,,2,42,0,0,11.4,0,0,0,0,0,0,,0,39.4,0,12.7,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Jalea,cdta,,3,49,0.4,0.2,11.5,0,11.5,0,0,0,0,,0.4,2.5,0,0,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Jalea Molecular varios sabores,cdta,,1,40,0,0,9.5,0,0,0,0,0,0,,0,0,0,0,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Jarabe de chocolate,cdta,,15,45,0,0,11.5,0,0.1,0,0,0,0,,0,0,0,0,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Jarabe de fresa,cdta,,15,45,0,0,11.2,0,2,0,0,0,0,,0,0,0,0,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Jarabe de mango,cdta,,17,41,0,0,11.2,0,0,0,0,0,0,,0,0,0,0,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Jarabe de sabor para preparar agua,cdta,,1,40,0,0,9.5,0,0.1,0,0,0,0,,0,0,0,22.7,,,,,,azúcares sin grasa,page_172.png,,,,,,,,,,,,,,,
Jarabe nuez de macadamia,1 cda,15,15,45,0,0,11.5,0,11.5,0,0,0,0,,0,0,0,20,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jarabe sabor 'fresa',1 cda,15,15,40,0,0,9.5,0,9.5,0,0,0,0,,0,0,0,0,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jarabe sabor amaretto,1 cda,15,15,40,0,0,9.5,0,9.5,0,0,0,0,,0,0,0,0,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jarabe sabor arándano azul,1 cda,15,15,40,0,0,9.5,0,9.5,0,0,0,0,,0,0,0,0,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jarabe sabor chocolate blanco,1 cda,15,15,40,0,0,9.5,0,9.5,0,0,0,0,,0,0,0,22.5,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jarabe sabor menta irlandés,1 cda,15,15,45,0,0,11,0,11.5,0,0,0,0,,0,0,0,0,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jarabe sabor fresca,1 cda,15,15,40,0,0,9.5,0,9,0,0,0,0,,0,0,0,12,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jolly Rancher,1 pieza,12,12,40,0,0,10,0,10,0,0,0,0,,0,0,0,23,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jugo Ades de naranja,2 pack/ch,200,200,49,1.2,0.1,11.6,0.2,12.3,0,0,0,0,,0,0.4,0,176.6,,,,,50,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jugo de caña de azúcar 1/4 taza,1/4 taza,60,60,50,0.4,0.1,12.3,0.6,10.5,0,0,0,0,,0,0.8,2.6,89.7,,,,,50,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jugo de ciruela pasa 1/4 taza,1/4 taza,64,64,50,0.2,0,11.2,2.1,5.6,0,0,0,0,,21.6,45.8,0,188.4,,,,,50,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jugo de chíricos preparado con agua,1/3 taza,80,80,50,0.3,0,9.2,0.1,10,0,0,0,0,,0,0.3,0,167,,,,,50,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jugo de fruta concentrado,20 gramos,20,20,37,0,0,10,0,10,0,0,0,0,,0,0,0,53.3,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
Jugo de frutas,1/3 taza,80,80,40,0,0,10,0,10,0,0,0,0,,0,0,0,36.7,,,,,5,azúcares sin grasa,page_173.png,,,,,,,,,,,,,,,
"Jugo de zanahoria, manzana y otras caricias",1/3 taza,80,80,39,0,0,9.7,0,9,0,0,0,0,48,800,0,0,6.4,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Jugo Natural es de Lala,1 pieza,125,125,28,0.5,0,6.5,0,6.5,0,0,0,0,0,0,0,0,3.8,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Jugo Kombucha,1/2 taza,120,120,38,0,0,9.6,0,9.6,0,0,0,0,0,0,0,0,14.2,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Leche condensada,11 cda,11,11,36,0.9,0.1,9.6,0,8.3,6,0.3,0,0,1.2,31.8,0,0,0,,41.6,,14.2,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Leche condensada light untable,16 cda,16,16,45,1.4,0.1,8.1,,,0,0,0,0,0,0,0,0,0,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Leche en polvo sabor chocolate crema mavalvásco,15 cda,15,15,48,1,1.3,12.6,0.6,0,3.8,0.6,0.3,,0,0,63.7,0,39.2,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Leche en polvo sabor fudge de chocolate,14 cda,14,14,56,0.6,0.3,12.6,0.6,0,3.8,0.6,0.3,,0,0,63.7,0,39.2,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Lechera tres leches,5 cdita,30,30,45,1.2,0,7.3,0,7.3,0,0,0,0,0,0,37.5,0,583.3,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Lucas Muecas sabor brezza,1/2 pieza,13,13,42,0.3,0,10.4,0,0,0,0,0,0,,,0,0,1.1,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Malavisco,2 pieza,14,14,45,0.3,0,11.4,0,0,0,0,0,0,,,0,0,1,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Malavisco miniatura,18 lata,13,13,40,0,0,10.2,0,0,0,0,0,0,,,0,0,1.1,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Manzana Lift,1/4 cdita,89,89,36,0,0,8.9,0,0,0,0,0,0,,,47.5,0,204.5,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Melaza,2 1/2 pieza,13,13,41,0,0,8.9,0,0,0,0,0,0,,,0,0,11.6,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Mentas de caramelo,6 pieza,10,10,36,0,0,10.2,0,0,0,0,0,0,,,0,0,0,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Mentos frutal,4 pieza,11,11,40,0,0,10.3,0,0,0,0,0,0,,,0,0,0,,0,0,0,,azúcares sin grasa,page_174.png,,,,,,,,,,,,,,,
Mentos menta,pieza,,11,40,0,0,10.3,0,8,0,0,0,0,,,0,0,0.2,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mentos Sour Mix,pieza,,11,40,0.2,0,10,,8.1,0,0,0,0,,0.1,0,0,0,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Merengue duro*,pza ch,,17,42,0.1,0,10,,10,0,0,0,0,0.1,,0,0,0,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada,2 1/2 cdta,,17,41,0,0,9.8,0,7.5,0,0,0,0,0,0,0,0,0,0,,,,5,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada con fructosa 2 1/2,cdta,,43,38,0,0,9.8,0,7.5,0,0,0,0,0,0,0,0,0,0,0,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de blueberry,cdta,,15,38,0,0,9.9,0,7.5,0,0,0,0,0,0,0,0,0,0,0,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de chabacano,cdta,,15,38,0,0,9.8,0,7.5,0,0,0,0,0,0,0,0,0,0,0,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de durazno,cdta,,15,38,0,0,9.8,0,7.3,0,0,0,0,0,0,0.1,0,0,0,0,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de frambuesa,cdta,,15,38,0,0,9.8,0,7.3,0,0,0,0,,0,0.1,0,0,0,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de fresa,cdta,,15,38,0,0,9.8,0,6,0,0,0,0,,0,0,0,0,0,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de frutas menos azúcar,cda,,30,40,0,0,9.1,0,0,0,0,0,0,,0,0,0,0,0,51,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de naranja,cda,,15,38,0,0,9.8,0,0.8,0,0,0,0,,0,0.3,0,0,0,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de pera,cda,,15,38,0,0,11.5,0,0.3,0,0,0,0,,0,0.3,0,0,0,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Mermelada de razzamas,cdta,,14,43,0,0,11.5,0,0,0,,,,,0,,,,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Miel,cdta,,12,37,0,0,12,0,8.7,0,,,,,0,,,,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Miel de abeja,cdta,,12,35,0.1,0,8.7,0,0,0,,,,,0,,,,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Miel de agave,cdta,,2,,0,,,,0,0,,,,,0,,,,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Miel de caña,cdta,,2,,0,,,,0,0,,,,,0,,,,,,,,,azúcares sin grasa,page_175.png,,,,,,,,,,,,,,,
Miel de maíz,cdta,2,2,36,0,0,9,0,8.1,0,0,0,0,,,5.5,0.5,8.2,24.5,0.1,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Miel o jarabe sabor maple,cdta,2,2,31,0,0,8.1,0,7,0,0,0,0,,,8,0.1,1.1,24.5,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Miguelito en polvo,sobre,8,8,45,0,0,10,0,10,0,0,0,0,,,0,0,8576,0,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Miguelito líquido,sobre,10,10,40,0,0.2,12,0,11,0,0,0,0,,,12,0,2400,0,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Monster Energy*,1/5 lata,96,96,72,1,0.2,19.5,0,19.5,0,0,0,0,,,195,0.8,104,55,0,,,3,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Mousse de chocolate sin grasa,1/4 taza,50,50,47,0,0,11,0,11,1.5,0,0,0,,,12,0,0,0,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Néctar de fruta (en polvo),1/4 taza,63,63,38,0,0,7.9,0.2,7.4,0.6,0,0,0,,,81.3,0.2,2.6,2.5,0,,,5,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Nesquik de chocolate (en polvo),2 1/2 cdta,13,13,45,0.1,0.3,9.9,0,10,0.7,0,0,0,,,94.8,2.5,5.9,4.9,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Nesquik de fresa (en polvo),2 1/2 cdta,13,13,44,0,0,11,0,11,0,0,0,0,,,75,0,0,0,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Nesquik de vainilla (en polvo),2 cdta,10,10,36,0,0,8.9,0,8.8,0,0,0,0,,,0,0,0,0,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Nestea (en polvo),4 1/2 cdta,11,11,41,0.1,0,10.1,0,9.7,0.1,0,0,0,,,14.4,0,1.2,0.1,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Nieve de frutas,40 gramos,40,40,40,0,0.1,11.1,,11.1,0,,,,,,14.4,,7.5,,,,,8,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Nieve de limón,1/2 bola,34,34,44,0.7,0,11.8,,11.8,0,,,,,,0.7,,0,,,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Obleas de cajeta,7 pieza,7,7,30,,,,,,,,,,,,,,,,,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Paleta de caramelo,12 pieza,12,12,44,0,0,10,,,0,0,0,0,,,0,,0,0,0,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Paleta helada de agua,2 pieza,52,52,41,0.6,0.1,9.3,,9.3,0,0,0,0,,,3,,2.5,,,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Paleta helada de fruta,1/2 pieza,46,46,38,0,0,9.3,,9.3,0,0,0,0,,,4.5,,3,,,,,,azúcares SIN GRASA,page_176.png,,,,,,,,,,,,,,,
Paleta helada de fruta sin azúcar,3 pieza,153,153,36,0.9,0.3,9.6,0,9.6,0,0,0,0,,0,3,0.2,39,9,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Paleta helada de yogurt sabor coco,1/2 pieza,35,35,47,0.7,0.9,9.1,0,9.1,0,0,0,0,,0,,,22.8,0,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Paleta Tutsi Pop,1/2 pieza,10,10,37,0,0,9.3,0,7.6,0,0,0,0,,0,0,0,9.4,0,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Paleton Corona,1/2 pieza,13,13,44,0.6,0,8.8,0,6.9,0,0,0,0,,0,0,0,17,0,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Panditas,1 bolsa,15,15,47,0.5,1.6,10.9,0.1,7.6,0,1.1,0,0,,0,0.2,0,56.5,4,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Pastillas con chocolate,1 pieza,11,11,43,0.1,0.3,7.5,0.3,6.8,0,0,0,0,,9.5,0,0,15.7,0,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Pastilla Halls Colors,4 pieza,11,11,44,0,0,10.7,0,7.2,0,0,0,0,,0,0,0,4.4,0,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Pastilla Halls limón con miel de abeja,4 pieza,11,11,43,0,0,10,0,8,0,0,0,0,,0,0.4,0,4.4,0,0,0,0,,azúcares,page_177.png,,,,,,,,,,,,,,,
Pica Fresa,2 pieza,12,12,40,0,0,10,,10.3,,,,,,,0.1,0,27.6,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Pioncillo,10 gramos,10,10,36,0,0,9.1,,9.2,,,,,,,1.9,0,39.9,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Pioncillo rallado,1 cda,10,10,36,0,0,9,,9,,,,,,,1.9,0,27,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Polen de abeja,2 1/2 cdta,13,13,50,2.5,1.3,7.5,,0,,,,,,,3.2,0.8,0,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Ponche de frutas,1/3 taza,79,79,36,0,0,9,0,9,0,0,0,0,,0,0,0,0,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Powerade frutas,1/4 botella,150,150,36,0,0,9,0,9,0,0,0,0,,0,0,0,0,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Powerade frutas,1/4 botella,150,150,36,0,0,9,0,9,0,0,0,0,,0,0,0,0,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Powerade lima-limón,1/4 botella,150,150,36,0,0,9,0,9,0,0,0,0,,0,0,0,0,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Powerade mora naranja-mandarina,1/4 botella,150,150,36,0,0,9,0,9,0,0,0,0,,0,0,0,0,,,,,,azúcares,page_177.png,,,,,,,,,,,,,,,
Pudín de chocolate en polvo,2 cdita,10,10,36,0.3,0.2,8.9,0,4.3,0,0.1,0,0,,0,5.3,0.2,47.9,,,,,,azúcares sin grasa,page_178.png,,,,,,,,,,,,,,,
Pudín de coco en polvo,2 cdita,10,10,43,0.1,1.1,8.2,0,8.1,0,0,0,0,,0,0.8,0.1,68.2,,,,,,azúcares sin grasa,page_178.png,,,,,,,,,,,,,,,
